_60-1 2000  500/1000
_60-2 3900  1000/2000
_60-3 7700  2000/3900
_60-4 8000  2000/4000
_70-1 2300  600/1200
_70-2 4500  1200/2300
_70-3 8000  2000/4000
_70-4 8000  2000/4000
_5    8000  2000/4000
_6    12000 3000/6000
_7    12000 3000/6000
_8    16000 4000/8000
_9    16000 4000/8000
_10   16000 4000/8000
_11   24000 6000/12000
_12   24000 6000/12000
_13   32000 8000/16000
^60-1 2900  1000
^60-2 5800  2000
^60-3 11600 3900
^60-4 12000 4000
^70-1 3400  1200
^70-2 6800  2300
^70-3 12000 4000
^70-4 12000 4000
^5    12000 4000
^6    18000 6000
^7    18000 6000
^8    24000 8000
^9    24000 8000
^10   24000 8000
^11   36000 12000
^12   36000 12000
^13   48000 16000
