_20-2 1300  400/700
_20-3 2600  700/1300
_20-4 5200  1300/2600
_25-2 1600  -
_25-3 3200  800/1600
_25-4 6400  1600/3200
_30-1 1000  300/500
_30-2 2000  500/1000
_30-3 3900  1000/2000
_30-4 7700  2000/3900
_40-1 1300  400/700
_40-2 2600  700/1300
_40-3 5200  1300/2600
_40-4 8000  2000/4000
_50-1 1600  400/800
_50-2 3200  800/1600
_50-3 6400  1600/3200
_50-4 8000  2000/4000
_60-1 2000  500/1000
_60-2 3900  1000/2000
_60-3 7700  2000/3900
_60-4 8000  2000/4000
_70-1 2300  600/1200
_70-2 4500  1200/2300
_70-3 8000  2000/4000
_70-4 8000  2000/4000
^20-2 2000  700
^20-3 3900  1300
^20-4 7700  2600
^25-2 2400  -
^25-3 4800  1600
^25-4 9600  3200
^30-1 1500  500
^30-2 2900  1000
^30-3 5800  2000
^30-4 11600 3900
^40-1 2000  700
^40-2 3900  1300
^40-3 7700  2600
^40-4 12000 4000
^50-1 2400  800
^50-2 4800  1600
^50-3 9600  3200
^50-4 12000 4000
^60-1 2900  1000
^60-2 5800  2000
^60-3 11600 3900
^60-4 12000 4000
^70-1 3400  1200
^70-2 6800  2300
^70-3 12000 4000
^70-4 12000 4000
