_1400  300/500    30-1
^1600  300/500    30-1
_1900  400/700    40-1
^2200  400/700    40-1
_2000  400/800    50-1
^2400  400/800    50-1
_2500  500/1000   30-2
^3000  500/1000   30-2
_3400  700/1300   40-2
^4000  700/1300   40-2
_4000  800/1600   50-2
^4800  800/1600   50-2
_5000  1000/2000  30-3
^6000  1000/2000  30-3
_6500  1300/2600  40-3
^7800  1300/2600  40-3
_8000  1600/3200  50-3
^9600  1600/3200  50-3
_10000 2000/4000  man
^12000 2000/4000  man
_15000 3000/6000  hane
^18000 3000/6000  hane
_20000 4000/8000  bai
^24000 4000/8000  bai
_30000 6000/12000 san
^36000 6000/12000 san
_40000 8000/16000 yaku
^48000 8000/16000 yaku
